customer_id,Name,credit_card_number,Ssn,Sex,deposit_ind,digital_enroll,digital_mobile_enroll
10000001,John Martin ,10000001,123-45-6781,M,,,
10000002,Mary May,10000002,123-45-6782,F,,,
10000003,Sean Smith,10000003,123-45-6783,M,,,
10000004,Betty Blue,10000004,123-45-6784,F,,,
10000005,Pieter de Bruin ,10000005,123-45-6785,M,,,
10000006,Mahdivi Nookala,10000006,123-45-6786,F,,,
10000007,Raj Ramachandran,10000007,123-45-6787,M,,,
10000008,Nora Huang,10000008,123-45-6788,F,,,
10000009,Clint Eastwood,10000009,123-45-6789,M,,,
10000010,Joanne Cadiz,10000010,123-45-6780,F,,,
10000011,Peter Brown,10000011,123-45-6780,M,,,
10000012,Paul Bolton,10000012,123-45-6780,M,,,
10000013,Petronella Brink,10000013,123-45-6780,F,,,
10000014,Paula Brodsky,10000014,123-45-6780,M,,,
10000015,Paulo Banderas,10000015,123-45-6780,M,,,
10000016,Phillip Blewitt,10000016,123-45-6780,M,,,
